	Number	Animacy	Case	Gender	Person	Aspect	Tense	Voice	Degree	Mood	VerbForm	Foreign	Variant	Hyph	Polarity
acl	91.48	96.21	95.86	84.48	25.0	61.01	66.03	70.44	98.94	100.0	89.94	100.0			
acl:relcl	74.41	71.59	21.62	63.94	26.67	56.52	62.5	50.43	90.23	15.0	13.91				
advcl	66.43	82.35	48.95	55.94	82.19	66.12	69.73	66.68	62.83	89.46	33.96	100.0	100.0		
advmod	65.42	91.36	33.03	55.89	33.33	48.94	44.0	64.15	81.34	70.83	44.68	100.0	100.0		100.0
amod	99.05	99.6	99.5	99.66	100.0	80.0	85.71	53.33	99.92	100.0	93.33	100.0		100.0	
appos	90.69	94.91	69.03	69.32	100.0	97.06	96.88	100.0	98.78	100.0	100.0	100.0	100.0		
aux	88.89			100.0	78.95	99.64	71.11	74.81		0.2	0.28				
aux:pass	99.89			99.9	100.0	2.67	83.3	0.01		0.66	0.02	100.0			
case	72.84	88.89	46.03	68.1					20.0			100.0			
cc	90.0	50.0	50.0	77.78					99.68			100.0			100.0
ccomp	65.2	64.71	25.88	41.38	82.62	45.74	49.45	57.75	91.4	98.11	81.59		100.0		
compound	75.16	89.89	50.9	36.37					100.0			100.0		100.0	
conj	80.92	94.81	93.84	60.54	93.83	78.17	85.95	64.69	99.16	98.96	88.78	100.0	100.0	100.0	
cop	92.61	100.0	6.25	80.86	59.09	16.27	79.09	18.77		11.58	2.84	100.0			
csubj	69.15	33.33		24.02	89.12	66.69	34.15	25.5	90.62	99.54	3.08		100.0		
csubj:pass	76.08			64.71	100.0	33.57	37.04	1.7		100.0	5.43		100.0		
det	98.01	92.03	96.83	97.91	75.0				100.0			100.0	100.0		
discourse	66.36	85.71	57.14	26.52	86.11	64.1	50.51	72.65	100.0	86.24	81.2	100.0			
expl	83.11	95.31	89.94	39.47	100.0										
fixed	97.94	64.03	6.89	86.08	100.0	66.67	100.0	66.67	98.94	66.67	66.67	100.0	100.0		
flat	86.59	97.51	89.97	75.56	100.0	62.5	100.0	75.0	100.0	85.71	100.0	100.0			
flat:foreign	98.81	97.23	74.19	75.44	80.0							100.0			100.0
flat:name	99.84	99.72	99.18	98.55	100.0							100.0			
iobj	60.32	61.01	4.33	38.96	54.34	55.1	56.52	63.51	97.5	88.89	15.38	100.0			
list	43.11	99.1	99.4	66.17								100.0			
mark	69.97	85.46	28.55	28.03		33.33		100.0	92.11	0.07	100.0	100.0			
nmod	65.52	74.44	24.85	36.39	13.49	50.0		50.0	98.1		25.0	100.0			
nsubj	95.35	86.94	56.54	92.07	99.6	45.15	56.84	64.29	73.75	96.49	2.04	100.0	100.0		
nsubj:pass	93.68	100.0	44.0	95.21	100.0	49.63	73.89	23.15	47.83	100.0	88.33	100.0	100.0		
nummod	90.36	86.83	93.74	62.38					96.97			100.0			
nummod:entity	91.82	85.39	29.22	67.27											
nummod:gov	5.0	94.87	25.23	80.53					21.57						
obj	56.77	68.75	19.58	39.42	67.13	57.6	62.82	77.53	100.0	63.33	5.19	100.0			
obl	65.56	66.16	13.64	39.25	61.84	65.15	75.78	59.54	51.24	86.05	14.81	100.0	100.0		
obl:agent	66.88	60.02	4.06	41.68	50.0	32.0	24.0	36.0			96.0				
orphan	61.68	77.13	17.44	52.16	23.68	75.0	50.0	100.0	97.0		50.0	100.0			
parataxis	61.36	86.99	45.9	43.54	82.9	48.57	49.2	62.7	92.15	95.48	85.16	100.0	100.0		100.0
punct	89.04	96.51	46.98	47.77	100.0	100.0	66.67	100.0	100.0	66.67	66.67	100.0		100.0	
xcomp	85.28	89.47	6.5	72.44	37.17	47.98	43.55	70.55	87.54	60.96	4.25	100.0	100.0		
